,date,creator_name,stream_sessions,Unique Profile Visitors,Buyers,Transactions,Txns / Buyer,Total Creator Earnings,Avg Transaction Size,Worst Case Gross Profit,Est. Gross Profit
7868,5/3/18,Bighungry2x,0,18,9,25,2.777777778,20.17,0.8068,1.0085,5.0425
7880,5/3/18,kabby,0,32,0,0,0.0,0.0,,0.0,0.0
7888,5/3/18,Phixate,0,3,1,2,2.0,0.02,0.01,0.001,0.005
7917,5/3/18,InjuredWafflez,0,4,2,2,1.0,1.02,0.51,0.051,0.255
7926,5/3/18,myboomshtickMixer,0,5,1,1,1.0,0.02,0.02,0.001,0.005
8034,5/2/18,KingBaileyBomb,0,3,1,1,1.0,0.02,0.02,0.001,0.005
8036,5/2/18,XenAndCL,0,1,0,0,0.0,0.0,,0.0,0.0
8039,5/2/18,InsertCoinTheater,0,1,1,3,3.0,1.35,0.45,0.0675,0.3375
8040,5/2/18,Moto,0,1,0,0,0.0,0.0,,0.0,0.0
8043,5/2/18,PinkMeatBall,0,5,1,1,1.0,0.02,0.02,0.001,0.005
8058,5/2/18,AstroOnMixer,0,1,0,0,0.0,0.0,,0.0,0.0
8067,5/2/18,MAGNETRON,0,20,1,2,2.0,1.75,0.875,0.0875,0.4375
8073,5/2/18,Bighungry2x,0,6,3,5,1.6666666669999999,0.83,0.166,0.0415,0.2075
8094,5/2/18,Phixate,0,2,1,1,1.0,1.0,1.0,0.05,0.25
8119,5/2/18,InjuredWafflez,0,1,0,0,0.0,0.0,,0.0,0.0
8127,5/2/18,myboomshtickMixer,0,4,0,0,0.0,0.0,,0.0,0.0
8213,5/1/18,dammitrooster,0,1,0,0,0.0,0.0,,0.0,0.0
8217,5/1/18,thatpiguy,0,2,1,6,6.0,4.88,0.813333333,0.244,1.22
8218,5/1/18,XenAndCL,0,2,0,0,0.0,0.0,,0.0,0.0
8221,5/1/18,jaredfps,0,1,1,1,1.0,0.02,0.02,0.001,0.005
8225,5/1/18,Moto,0,4,1,1,1.0,1.5,1.5,0.075,0.375
8261,5/1/18,TyFighter559,0,4,3,8,2.666666667,1.72,0.215,0.086,0.43
8263,5/1/18,kabby,0,1,1,1,1.0,0.02,0.02,0.001,0.005
8268,5/1/18,Phixate,0,2,0,0,0.0,0.0,,0.0,0.0
8363,4/30/18,pixelprincess,0,1,0,0,0.0,0.0,,0.0,0.0
8369,4/30/18,thatpiguy,0,1,0,0,0.0,0.0,,0.0,0.0
8370,4/30/18,XenAndCL,0,1,0,0,0.0,0.0,,0.0,0.0
8374,4/30/18,Moto,0,1,0,0,0.0,0.0,,0.0,0.0
8394,4/30/18,Bighungry2x,0,2,0,0,0.0,0.0,,0.0,0.0
8400,4/30/18,kabby,0,1,0,0,0.0,0.0,,0.0,0.0
8405,4/30/18,Phixate,0,1,1,1,1.0,2.5,2.5,0.125,0.625
8500,4/29/18,dammitrooster,0,1,0,0,0.0,0.0,,0.0,0.0
8506,4/29/18,XenAndCL,0,1,1,5,5.0,2.1,0.42,0.105,0.525
8507,4/29/18,Moto,0,1,1,2,2.0,1.2,0.6,0.06,0.3
8526,4/29/18,Bighungry2x,0,2,1,1,1.0,0.02,0.02,0.001,0.005
8558,4/29/18,myboomshtickMixer,0,2,1,10,10.0,0.35,0.035,0.0175,0.0875
8643,4/28/18,lenaaxios,0,1,0,0,0.0,0.0,,0.0,0.0
8650,4/28/18,jaredfps,0,1,1,1,1.0,0.02,0.02,0.001,0.005
8651,4/28/18,InsertCoinTheater,0,1,0,0,0.0,0.0,,0.0,0.0
8668,4/28/18,MAGNETRON,0,1,1,10,10.0,0.1,0.01,0.005,0.025
8706,4/28/18,myboomshtickMixer,0,3,2,3,1.5,0.04,0.013333333000000001,0.002,0.01
8789,4/27/18,dammitrooster,0,1,1,1,1.0,2.5,2.5,0.125,0.625
8795,4/27/18,thatpiguy,0,3,1,7,7.0,3.95,0.5642857139999999,0.1975,0.9875
8815,4/27/18,Bighungry2x,0,2,1,1,1.0,0.02,0.02,0.001,0.005
8823,4/27/18,Phixate,0,4,3,11,3.666666667,3.84,0.349090909,0.192,0.96
8898,4/26/18,lenaaxios,0,1,1,1,1.0,0.02,0.02,0.001,0.005
8908,4/26/18,thatpiguy,0,3,1,9,9.0,0.35,0.038888888999999996,0.0175,0.0875
8910,4/26/18,InsertCoinTheater,0,2,0,0,0.0,0.0,,0.0,0.0
8911,4/26/18,Moto,0,1,0,0,0.0,0.0,,0.0,0.0
8931,4/26/18,Bighungry2x,0,1,0,0,0.0,0.0,,0.0,0.0
8947,4/26/18,Phixate,0,4,3,4,1.333333333,7.02,1.755,0.35100000000000003,1.755
8968,4/26/18,myboomshtickMixer,0,2,1,1,1.0,0.02,0.02,0.001,0.005
9047,4/25/18,lenaaxios,0,2,1,3,3.0,1.98,0.66,0.099,0.495
9055,4/25/18,InsertCoinTheater,0,16,1,1,1.0,0.01,0.01,0.0005,0.0025
9057,4/25/18,Moto,0,2,0,0,0.0,0.0,,0.0,0.0
9072,4/25/18,MAGNETRON,0,2,0,0,0.0,0.0,,0.0,0.0
9088,4/25/18,Phixate,0,2,1,2,2.0,0.04,0.02,0.002,0.01
9186,4/24/18,dammitrooster,0,1,0,0,0.0,0.0,,0.0,0.0
9196,4/24/18,Moto,0,1,0,0,0.0,0.0,,0.0,0.0
9223,4/24/18,MAGNETRON,0,1,1,10,10.0,0.11,0.011000000000000001,0.0055,0.0275
9228,4/24/18,Bighungry2x,0,2,1,3,3.0,0.28,0.093333333,0.013999999999999999,0.07
9241,4/24/18,kabby,0,2,1,1,1.0,5.0,5.0,0.25,1.25
9252,4/24/18,Phixate,0,4,2,5,2.5,2.77,0.5539999999999999,0.1385,0.6925
9357,4/23/18,jaredfps,0,3,0,0,0.0,0.0,,0.0,0.0
9370,4/23/18,Scarberry,0,1,0,0,0.0,0.0,,0.0,0.0
9387,4/23/18,MAGNETRON,0,1,1,1,1.0,0.21,0.21,0.0105,0.0525
9391,4/23/18,Bighungry2x,0,2,0,0,0.0,0.0,,0.0,0.0
9404,4/23/18,kabby,0,2,0,0,0.0,0.0,,0.0,0.0
9412,4/23/18,Phixate,0,1,1,1,1.0,0.02,0.02,0.001,0.005
9439,4/23/18,myboomshtickMixer,0,2,1,2,2.0,2.0,1.0,0.1,0.5
9532,4/22/18,Moto,0,2,0,0,0.0,0.0,,0.0,0.0
9551,4/22/18,Bighungry2x,0,6,1,1,1.0,0.49,0.49,0.0245,0.1225
9563,4/22/18,kabby,0,2,1,1,1.0,5.0,5.0,0.25,1.25
9674,4/21/18,thatpiguy,0,1,0,0,0.0,0.0,,0.0,0.0
9717,4/21/18,Phixate,0,4,0,0,0.0,0.0,,0.0,0.0
9734,4/21/18,myboomshtickMixer,0,1,1,2,2.0,0.63,0.315,0.0315,0.1575
9823,4/20/18,thatpiguy,0,4,0,0,0.0,0.0,,0.0,0.0
9824,4/20/18,XenAndCL,0,1,1,3,3.0,1.5,0.5,0.075,0.375
9829,4/20/18,InsertCoinTheater,0,1,2,6,3.0,2.59,0.431666667,0.1295,0.6475
9833,4/20/18,PinkMeatBall,0,1,1,4,4.0,0.11,0.0275,0.0055,0.0275
9847,4/20/18,AstroOnMixer,0,1,0,0,0.0,0.0,,0.0,0.0
9857,4/20/18,Bighungry2x,0,1,1,2,2.0,1.75,0.875,0.0875,0.4375
9873,4/20/18,kabby,0,1,1,1,1.0,0.07,0.07,0.0035,0.0175
9886,4/20/18,Phixate,0,4,2,2,1.0,0.03,0.015,0.0015,0.0075
10003,4/19/18,jaredfps,0,3,1,1,1.0,0.02,0.02,0.001,0.005
10004,4/19/18,InsertCoinTheater,0,1,0,0,0.0,0.0,,0.0,0.0
10031,4/19/18,Bighungry2x,0,10,6,51,8.5,6.25,0.12254902,0.3125,1.5625
10045,4/19/18,Phixate,0,6,4,8,2.0,5.66,0.7075,0.28300000000000003,1.415
10069,4/19/18,InjuredWafflez,0,1,1,2,2.0,0.98,0.49,0.049,0.245
10158,4/18/18,dammitrooster,0,3,2,6,3.0,0.12,0.02,0.006,0.03
10166,4/18/18,XenAndCL,0,1,0,0,0.0,0.0,,0.0,0.0
10193,4/18/18,MAGNETRON,0,3,2,6,3.0,2.34,0.39,0.11699999999999999,0.585
10198,4/18/18,Bighungry2x,0,12,3,13,4.333333333,1.9,0.146153846,0.095,0.475
10220,4/18/18,Phixate,0,7,4,5,1.25,0.46,0.092,0.023,0.115
10249,4/18/18,myboomshtickMixer,0,3,0,0,0.0,0.0,,0.0,0.0
10340,4/17/18,dammitrooster,0,1,1,1,1.0,0.49,0.49,0.0245,0.1225
10341,4/17/18,thatpiguy,0,2,1,3,3.0,12.21,4.07,0.6105,3.0525
10345,4/17/18,jaredfps,0,3,2,6,3.0,1.24,0.206666667,0.062,0.31
10348,4/17/18,InsertCoinTheater,0,1,0,0,0.0,0.0,,0.0,0.0
10401,4/17/18,Phixate,0,4,0,0,0.0,0.0,,0.0,0.0
