,date,creator_name,stream_sessions,Unique Profile Visitors,Buyers,Transactions,Txns / Buyer,Total Creator Earnings,Avg Transaction Size,Worst Case Gross Profit,Est. Gross Profit
80,6/7/18,lenaaxios,1,3,1,1,1.0,0.05,0.05,0.0025,0.0125
85,6/7/18,pixelprincess,0,1,0,0,0.0,0.0,,0.0,0.0
88,6/7/18,dammitrooster,1,1,3,4,1.333333333,1.62,0.405,0.081,0.405
91,6/7/18,KingBaileyBomb,1,6,1,1,1.0,0.25,0.25,0.0125,0.0625
97,6/7/18,thatpiguy,1,3,0,0,0.0,0.0,,0.0,0.0
98,6/7/18,XenAndCL,1,2,1,1,1.0,0.1,0.1,0.005,0.025
104,6/7/18,jaredfps,3,15,2,12,6.0,32.98,2.748333333,1.649,8.245
106,6/7/18,InsertCoinTheater,0,4,0,0,0.0,0.0,,0.0,0.0
108,6/7/18,Moto,1,14,9,24,2.666666667,4.15,0.172916667,0.2075,1.0375
115,6/7/18,PinkMeatBall,0,1,0,0,0.0,0.0,,0.0,0.0
122,6/7/18,SugarPlumOnMixer,1,3,0,0,0.0,0.0,,0.0,0.0
123,6/7/18,Scarberry,1,8,5,13,2.6,1.57,0.12076923099999999,0.0785,0.3925
143,6/7/18,MAGNETRON,0,5,0,0,0.0,0.0,,0.0,0.0
147,6/7/18,Bighungry2x,1,1,2,3,1.5,11.1,3.7,0.555,2.775
157,6/7/18,TyFighter559,0,2,0,0,0.0,0.0,,0.0,0.0
162,6/7/18,kabby,2,16,6,11,1.8333333330000001,0.75,0.06818181799999999,0.0375,0.1875
169,6/7/18,Phixate,2,12,4,7,1.75,1.39,0.198571429,0.0695,0.3475
191,6/7/18,InjuredWafflez,0,1,0,0,0.0,0.0,,0.0,0.0
198,6/7/18,myboomshtickMixer,4,4,0,0,0.0,0.0,,0.0,0.0
356,6/6/18,lenaaxios,2,4,0,0,0.0,0.0,,0.0,0.0
358,6/6/18,pixelprincess,0,1,0,0,0.0,0.0,,0.0,0.0
362,6/6/18,dammitrooster,1,14,6,7,1.166666667,0.35,0.05,0.0175,0.0875
364,6/6/18,KingBaileyBomb,2,40,5,7,1.4,2.39,0.341428571,0.1195,0.5975
368,6/6/18,thatpiguy,1,32,3,7,2.333333333,1.24,0.177142857,0.062,0.31
369,6/6/18,XenAndCL,1,1,1,1,1.0,0.1,0.1,0.005,0.025
374,6/6/18,jaredfps,2,26,9,80,8.888888889,12.37,0.154625,0.6185,3.0925
375,6/6/18,InsertCoinTheater,1,1,2,3,1.5,1.5,0.5,0.075,0.375
377,6/6/18,Moto,2,14,4,10,2.5,6.14,0.614,0.307,1.535
381,6/6/18,PinkMeatBall,1,4,0,0,0.0,0.0,,0.0,0.0
385,6/6/18,SugarPlumOnMixer,2,18,2,7,3.5,1.21,0.17285714300000002,0.0605,0.3025
387,6/6/18,Scarberry,0,9,0,0,0.0,0.0,,0.0,0.0
409,6/6/18,MAGNETRON,1,36,1,12,12.0,2.85,0.2375,0.1425,0.7125
419,6/6/18,Bighungry2x,2,64,2,2,1.0,1.02,0.51,0.051,0.255
430,6/6/18,TyFighter559,0,3,1,1,1.0,0.05,0.05,0.0025,0.0125
432,6/6/18,kabby,8,144,12,35,2.916666667,34.31,0.9802857140000001,1.7155,8.5775
443,6/6/18,Phixate,1,9,3,4,1.333333333,0.66,0.165,0.033,0.165
473,6/6/18,InjuredWafflez,1,24,1,3,3.0,0.73,0.243333333,0.0365,0.1825
480,6/6/18,myboomshtickMixer,1,28,3,3,1.0,2.02,0.673333333,0.10099999999999999,0.505
640,6/5/18,lenaaxios,3,12,2,2,1.0,0.35,0.175,0.0175,0.0875
643,6/5/18,pixelprincess,0,1,0,0,0.0,0.0,,0.0,0.0
648,6/5/18,dammitrooster,1,7,4,4,1.0,0.54,0.135,0.027000000000000003,0.135
655,6/5/18,thatpiguy,0,6,4,5,1.25,2.2,0.44,0.11,0.55
659,6/5/18,jaredfps,2,6,1,8,8.0,21.7,2.7125,1.085,5.425
660,6/5/18,Moto,1,7,8,15,1.875,9.86,0.657333333,0.493,2.465
667,6/5/18,PinkMeatBall,0,2,0,0,0.0,0.0,,0.0,0.0
675,6/5/18,SugarPlumOnMixer,1,7,3,4,1.333333333,5.13,1.2825,0.2565,1.2825
702,6/5/18,MAGNETRON,1,15,10,48,4.8,11.65,0.242708333,0.5825,2.9125
726,6/5/18,kabby,1,8,5,31,6.2,8.51,0.274516129,0.4255,2.1275
736,6/5/18,Phixate,1,3,1,1,1.0,0.25,0.25,0.0125,0.0625
769,6/5/18,InjuredWafflez,2,10,4,9,2.25,16.06,1.784444444,0.8029999999999999,4.015
779,6/5/18,myboomshtickMixer,0,1,0,0,0.0,0.0,,0.0,0.0
928,6/4/18,lenaaxios,2,2,0,0,0.0,0.0,,0.0,0.0
932,6/4/18,dammitrooster,1,5,3,4,1.333333333,0.34,0.085,0.017,0.085
935,6/4/18,KingBaileyBomb,1,7,1,2,2.0,0.27,0.135,0.0135,0.0675
943,6/4/18,XenAndCL,1,1,0,0,0.0,0.0,,0.0,0.0
947,6/4/18,jaredfps,1,4,2,7,3.5,26.25,3.75,1.3125,6.5625
949,6/4/18,InsertCoinTheater,0,1,1,1,1.0,0.25,0.25,0.0125,0.0625
950,6/4/18,Moto,1,9,8,25,3.125,7.43,0.2972,0.3715,1.8575
964,6/4/18,SugarPlumOnMixer,1,1,6,37,6.166666667,5.33,0.14405405400000001,0.2665,1.3325
966,6/4/18,Scarberry,1,10,4,20,5.0,7.61,0.3805,0.3805,1.9025
995,6/4/18,MAGNETRON,1,17,14,40,2.857142857,11.39,0.28475,0.5695,2.8475
1007,6/4/18,TyFighter559,0,1,1,1,1.0,0.05,0.05,0.0025,0.0125
1018,6/4/18,Phixate,1,3,3,8,2.666666667,7.31,0.91375,0.3655,1.8275
1052,6/4/18,InjuredWafflez,1,7,0,0,0.0,0.0,,0.0,0.0
1060,6/4/18,myboomshtickMixer,2,8,2,11,5.5,11.64,1.058181818,0.5820000000000001,2.91
1203,6/3/18,dammitrooster,0,1,0,0,0.0,0.0,,0.0,0.0
1210,6/3/18,KingBaileyBomb,1,5,4,13,3.25,2.44,0.187692308,0.122,0.61
1213,6/3/18,thatpiguy,0,18,2,6,3.0,1.1,0.18333333300000001,0.055,0.275
1214,6/3/18,XenAndCL,1,2,2,2,1.0,5.05,2.525,0.2525,1.2625
1216,6/3/18,jaredfps,1,7,3,12,4.0,36.29,3.024166667,1.8145,9.0725
1219,6/3/18,InsertCoinTheater,1,3,1,1,1.0,0.5,0.5,0.025,0.125
1249,6/3/18,Bighungry2x,1,8,0,0,0.0,0.0,,0.0,0.0
1258,6/3/18,kabby,2,20,4,7,1.75,1.04,0.148571429,0.052000000000000005,0.26
1295,6/3/18,myboomshtickMixer,1,1,2,7,3.5,13.38,1.9114285709999999,0.669,3.345
1446,6/2/18,KingBaileyBomb,1,8,0,0,0.0,0.0,,0.0,0.0
1454,6/2/18,jaredfps,1,3,3,11,3.666666667,11.39,1.035454545,0.5695,2.8475
1456,6/2/18,Moto,1,10,8,10,1.25,1.45,0.145,0.0725,0.3625
1470,6/2/18,SugarPlumOnMixer,1,7,2,43,21.5,1.99,0.04627907,0.0995,0.4975
1472,6/2/18,Scarberry,1,4,0,0,0.0,0.0,,0.0,0.0
1489,6/2/18,MAGNETRON,1,4,4,12,3.0,2.02,0.168333333,0.10099999999999999,0.505
1497,6/2/18,Bighungry2x,1,3,6,22,3.666666667,2.81,0.127727273,0.1405,0.7025
1505,6/2/18,TyFighter559,0,5,0,0,0.0,0.0,,0.0,0.0
1546,6/2/18,InjuredWafflez,0,8,0,0,0.0,0.0,,0.0,0.0
1551,6/2/18,myboomshtickMixer,1,2,1,6,6.0,0.97,0.161666667,0.0485,0.2425
1677,6/1/18,lenaaxios,1,1,0,0,0.0,0.0,,0.0,0.0
1683,6/1/18,dammitrooster,2,20,5,7,1.4,0.26,0.037142857,0.013000000000000001,0.065
1693,6/1/18,thatpiguy,0,16,1,1,1.0,0.1,0.1,0.005,0.025
1695,6/1/18,XenAndCL,2,4,2,7,3.5,3.14,0.44857142899999997,0.157,0.785
1701,6/1/18,InsertCoinTheater,1,2,2,4,2.0,1.05,0.2625,0.0525,0.2625
1702,6/1/18,Moto,2,24,10,34,3.4,13.12,0.38588235299999996,0.6559999999999999,3.28
1717,6/1/18,Scarberry,3,60,2,10,5.0,6.09,0.609,0.3045,1.5225
1741,6/1/18,MAGNETRON,1,29,12,48,4.0,17.78,0.37041666700000003,0.889,4.445
1750,6/1/18,Bighungry2x,1,12,5,24,4.8,14.68,0.611666667,0.7340000000000001,3.67
1760,6/1/18,kabby,1,24,1,5,5.0,0.07,0.013999999999999999,0.0035,0.0175
1770,6/1/18,Phixate,0,4,1,1,1.0,0.1,0.1,0.005,0.025
1799,6/1/18,InjuredWafflez,1,20,1,1,1.0,0.1,0.1,0.005,0.025
1928,5/31/18,lenaaxios,1,1,1,2,2.0,5.3,2.65,0.265,1.325
1931,5/31/18,pixelprincess,0,1,0,0,0.0,0.0,,0.0,0.0
1935,5/31/18,KingBaileyBomb,4,48,7,48,6.857142857,17.12,0.35666666700000005,0.856,4.28
1937,5/31/18,thatpiguy,0,2,1,1,1.0,0.1,0.1,0.005,0.025
1940,5/31/18,jaredfps,4,20,2,2,1.0,0.5,0.25,0.025,0.125
1943,5/31/18,InsertCoinTheater,0,1,0,0,0.0,0.0,,0.0,0.0
1944,5/31/18,Moto,2,18,6,14,2.333333333,56.33,4.0235714289999995,2.8165,14.0825
1947,5/31/18,PinkMeatBall,0,1,0,0,0.0,0.0,,0.0,0.0
1955,5/31/18,SugarPlumOnMixer,1,2,3,3,1.0,0.42,0.14,0.021,0.105
1956,5/31/18,Scarberry,0,1,1,3,3.0,0.33,0.11,0.0165,0.0825
1967,5/31/18,AstroOnMixer,1,6,2,3,1.5,0.67,0.223333333,0.0335,0.1675
1978,5/31/18,Bighungry2x,1,1,0,0,0.0,0.0,,0.0,0.0
1982,5/31/18,TyFighter559,0,3,2,2,1.0,0.06,0.03,0.003,0.015
1984,5/31/18,kabby,1,4,2,3,1.5,0.08,0.026666667,0.004,0.02
1994,5/31/18,Phixate,1,3,4,6,1.5,1.0,0.166666667,0.05,0.25
2010,5/31/18,InjuredWafflez,1,5,5,6,1.2,4.28,0.713333333,0.214,1.07
2140,5/30/18,lenaaxios,1,2,0,0,0.0,0.0,,0.0,0.0
2144,5/30/18,pixelprincess,1,5,3,4,1.333333333,0.48,0.12,0.024,0.12
2147,5/30/18,dammitrooster,2,44,4,6,1.5,11.05,1.841666667,0.5525,2.7625
2150,5/30/18,KingBaileyBomb,1,24,2,4,2.0,0.17,0.0425,0.0085,0.0425
2156,5/30/18,jaredfps,2,40,3,12,4.0,36.14,3.011666667,1.807,9.035
2157,5/30/18,InsertCoinTheater,1,3,2,3,1.5,1.1,0.36666666700000006,0.055,0.275
2159,5/30/18,Moto,1,6,8,47,5.875,8.74,0.185957447,0.43700000000000006,2.185
2161,5/30/18,PinkMeatBall,3,3,0,0,0.0,0.0,,0.0,0.0
2165,5/30/18,SugarPlumOnMixer,1,5,7,10,1.428571429,8.45,0.845,0.4225,2.1125
2167,5/30/18,Scarberry,1,1,0,0,0.0,0.0,,0.0,0.0
2182,5/30/18,MAGNETRON,1,112,17,57,3.3529411760000003,21.72,0.381052632,1.0859999999999999,5.43
2187,5/30/18,Bighungry2x,0,2,0,0,0.0,0.0,,0.0,0.0
2197,5/30/18,TyFighter559,0,4,2,3,1.5,0.57,0.19,0.0285,0.1425
2199,5/30/18,kabby,2,4,0,0,0.0,0.0,,0.0,0.0
2209,5/30/18,Phixate,1,4,2,3,1.5,0.27,0.09,0.0135,0.0675
2237,5/30/18,InjuredWafflez,1,7,0,0,0.0,0.0,,0.0,0.0
2353,5/29/18,lenaaxios,1,1,0,0,0.0,0.0,,0.0,0.0
2357,5/29/18,pixelprincess,1,4,0,0,0.0,0.0,,0.0,0.0
2360,5/29/18,dammitrooster,1,8,3,3,1.0,0.22,0.073333333,0.011000000000000001,0.055
2366,5/29/18,thatpiguy,0,3,1,1,1.0,0.25,0.25,0.0125,0.0625
2368,5/29/18,XenAndCL,3,9,0,0,0.0,0.0,,0.0,0.0
2372,5/29/18,jaredfps,2,2,1,4,4.0,20.4,5.1,1.02,5.1
2374,5/29/18,Moto,1,7,9,62,6.8888888889999995,14.45,0.23306451600000003,0.7225,3.6125
2378,5/29/18,PinkMeatBall,0,2,0,0,0.0,0.0,,0.0,0.0
2390,5/29/18,AstroOnMixer,1,4,4,8,2.0,1.52,0.19,0.076,0.38
2399,5/29/18,MAGNETRON,1,12,0,0,0.0,0.0,,0.0,0.0
2417,5/29/18,kabby,1,3,0,0,0.0,0.0,,0.0,0.0
2426,5/29/18,Phixate,3,9,2,3,1.5,1.75,0.583333333,0.0875,0.4375
2448,5/29/18,InjuredWafflez,1,6,6,9,1.5,10.09,1.121111111,0.5045,2.5225
2457,5/29/18,myboomshtickMixer,0,3,0,0,0.0,0.0,,0.0,0.0
2566,5/28/18,lenaaxios,2,2,2,2,1.0,0.07,0.035,0.0035,0.0175
2568,5/28/18,dammitrooster,1,2,0,0,0.0,0.0,,0.0,0.0
2570,5/28/18,KingBaileyBomb,1,48,2,2,1.0,0.26,0.13,0.013000000000000001,0.065
2575,5/28/18,thatpiguy,0,2,1,2,2.0,0.05,0.025,0.0025,0.0125
2576,5/28/18,InsertCoinTheater,1,2,1,1,1.0,0.5,0.5,0.025,0.125
2577,5/28/18,Moto,2,18,9,41,4.555555556,10.35,0.252439024,0.5175,2.5875
2583,5/28/18,PinkMeatBall,1,2,2,5,2.5,1.45,0.29,0.0725,0.3625
2588,5/28/18,SugarPlumOnMixer,1,16,2,3,1.5,0.77,0.256666667,0.0385,0.1925
2600,5/28/18,MAGNETRON,1,8,11,60,5.454545455,9.13,0.152166667,0.4565,2.2825
2607,5/28/18,Bighungry2x,1,1,1,4,4.0,0.18,0.045,0.009000000000000001,0.045
2610,5/28/18,TyFighter559,0,1,1,3,3.0,0.07,0.023333332999999998,0.0035,0.0175
2613,5/28/18,kabby,1,3,2,5,2.5,0.65,0.13,0.0325,0.1625
2619,5/28/18,Phixate,1,2,1,1,1.0,5.0,5.0,0.25,1.25
2635,5/28/18,InjuredWafflez,1,8,5,14,2.8,12.58,0.8985714290000001,0.629,3.145
2725,5/27/18,XenAndCL,0,1,1,6,6.0,0.12,0.02,0.006,0.03
2728,5/27/18,jaredfps,1,2,0,0,0.0,0.0,,0.0,0.0
2730,5/27/18,InsertCoinTheater,2,56,3,27,9.0,13.5,0.5,0.675,3.375
