id,"action",creator_id,viewer_id,"timestamp",item_id,item_price
1,"click",2330,288454,"2018-04-01 01:07:30",153,0.02
2,"click",171119,288454,"2018-04-01 01:21:56",157,0.25
3,"click",171119,288454,"2018-04-01 01:22:01",158,0.01
4,"click",171119,288454,"2018-04-01 03:46:51",161,0.01
5,"click",171119,288454,"2018-04-01 03:47:00",185,20.00
6,"click",171119,288454,"2018-04-01 03:47:03",186,0.05
7,"click",171119,288454,"2018-04-01 03:47:05",185,20.00
8,"click",171119,288454,"2018-04-01 03:47:09",182,10.00
9,"click",171119,288454,"2018-04-01 03:47:10",181,0.24
10,"click",171119,258497,"2018-04-01 04:04:02",153,0.02
11,"click",171119,191997,"2018-04-01 04:18:43",153,0.02
12,"click",171119,191997,"2018-04-01 04:18:55",155,0.40
13,"click",171119,191997,"2018-04-01 04:18:55",153,0.02
14,"click",171119,191997,"2018-04-01 04:18:56",158,0.01
15,"click",171119,191997,"2018-04-01 04:19:16",153,0.02
16,"click",171119,191997,"2018-04-01 04:19:30",161,0.01
17,"click",171119,191997,"2018-04-01 04:19:39",153,0.02
18,"click",171119,191997,"2018-04-01 04:19:57",185,20.00
19,"click",171119,191997,"2018-04-01 04:20:51",153,0.02
20,"click",171119,191997,"2018-04-01 04:21:01",161,0.01
21,"click",171119,191997,"2018-04-01 04:39:38",161,0.01
22,"click",171119,191997,"2018-04-01 04:39:46",153,0.02
23,"click",171119,191997,"2018-04-01 04:40:03",153,0.02
24,"click",171119,191997,"2018-04-01 04:40:34",162,5.00
25,"click",171119,191997,"2018-04-01 04:40:35",161,0.01
26,"click",2330,287296,"2018-04-01 04:45:58",153,0.02
27,"click",171119,191997,"2018-04-01 04:48:17",153,0.02
28,"click",2330,287296,"2018-04-01 05:00:35",153,0.02
29,"click",171119,191997,"2018-04-01 05:26:32",153,0.02
30,"click",171119,191997,"2018-04-01 05:26:32",158,0.01
31,"click",171119,191997,"2018-04-01 05:26:41",153,0.02
32,"click",171119,191997,"2018-04-01 05:26:49",158,0.01
33,"click",171119,191997,"2018-04-01 05:27:13",153,0.02
34,"click",171119,191997,"2018-04-01 05:27:24",158,0.01
35,"click",171119,191997,"2018-04-01 05:28:18",185,20.00
36,"click",171119,191997,"2018-04-01 05:29:09",158,0.01
37,"click",2330,287296,"2018-04-01 05:29:27",153,0.02
38,"click",171119,287296,"2018-04-01 05:29:53",158,0.01
39,"click",171119,287296,"2018-04-01 05:30:25",186,0.05
40,"click",2330,314151,"2018-04-01 05:38:05",153,0.02
41,"click",2330,314151,"2018-04-01 05:38:29",154,1.50
42,"click",2330,314151,"2018-04-01 05:38:30",153,0.02
43,"click",2330,314151,"2018-04-01 05:38:30",155,0.40
44,"click",2330,314151,"2018-04-01 05:38:31",156,0.25
45,"click",279623,279623,"2018-04-01 05:38:38",155,0.40
46,"click",2330,210730,"2018-04-01 05:40:04",153,0.02
47,"click",235036,235036,"2018-04-01 05:41:16",185,20.00
48,"click",254326,287296,"2018-04-01 05:41:48",153,0.02
49,"click",191997,210730,"2018-04-01 05:42:17",155,0.40
50,"click",2330,6,"2018-04-01 05:43:09",153,0.02
51,"click",2330,6,"2018-04-01 05:44:10",185,20.00
52,"click",2330,10,"2018-04-01 05:44:12",153,0.02
53,"click",2330,10,"2018-04-01 05:44:24",156,0.25
54,"click",2330,10,"2018-04-01 05:44:26",164,0.50
55,"click",172234,172234,"2018-04-01 05:46:37",161,0.01
56,"click",172234,172234,"2018-04-01 05:46:39",159,0.49
57,"click",172234,172234,"2018-04-01 05:46:40",160,0.40
58,"click",172234,172234,"2018-04-01 05:46:40",159,0.49
59,"click",172234,172234,"2018-04-01 05:46:41",157,0.25
60,"click",172234,172234,"2018-04-01 05:46:41",161,0.01
61,"click",172234,172234,"2018-04-01 05:47:01",185,20.00
62,"click",55557,219593,"2018-04-01 05:49:08",153,0.02
63,"click",270069,307467,"2018-04-01 05:51:32",158,0.01
64,"click",270069,307467,"2018-04-01 05:51:33",161,0.01
65,"click",270069,307467,"2018-04-01 05:51:34",161,0.01
66,"click",270069,307467,"2018-04-01 05:51:36",158,0.01
67,"click",211843,160625,"2018-04-01 05:51:42",153,0.02
68,"click",270069,307467,"2018-04-01 05:52:08",153,0.02
69,"click",270069,307467,"2018-04-01 05:52:11",161,0.01
70,"click",254326,287296,"2018-04-01 05:52:44",153,0.02
71,"click",51808,52025,"2018-04-01 05:52:56",185,20.00
72,"click",254326,287296,"2018-04-01 05:53:04",153,0.02
73,"click",51808,0,"2018-04-01 05:56:08",154,1.50
74,"click",51808,0,"2018-04-01 05:56:13",153,0.02
75,"click",51808,0,"2018-04-01 05:56:14",155,0.40
76,"click",280326,0,"2018-04-01 05:57:18",153,0.02
77,"click",125673,0,"2018-04-01 06:01:13",155,0.40
78,"click",213127,127,"2018-04-01 06:02:13",153,0.02
79,"click",213127,160625,"2018-04-01 06:03:31",153,0.02
80,"click",172234,172234,"2018-04-01 06:03:50",161,0.01
81,"click",172234,172234,"2018-04-01 06:03:51",159,0.49
82,"click",172234,172234,"2018-04-01 06:03:52",160,0.40
83,"click",172234,172234,"2018-04-01 06:03:53",158,0.01
84,"click",167961,314155,"2018-04-01 06:05:12",155,0.40
85,"click",210829,160625,"2018-04-01 06:05:35",153,0.02
86,"click",213127,160625,"2018-04-01 06:05:56",153,0.02
87,"click",213127,160625,"2018-04-01 06:06:22",160,0.40
88,"click",213127,160625,"2018-04-01 06:06:57",159,0.49
89,"click",167961,314155,"2018-04-01 06:07:06",153,0.02
90,"click",167961,314155,"2018-04-01 06:07:08",153,0.02
91,"click",18347,0,"2018-04-01 06:07:13",153,0.02
92,"click",18347,0,"2018-04-01 06:07:15",153,0.02
93,"click",18347,0,"2018-04-01 06:07:17",153,0.02
94,"click",210829,160625,"2018-04-01 06:07:23",157,0.25
95,"click",213127,127,"2018-04-01 06:07:37",157,0.25
96,"click",213127,127,"2018-04-01 06:07:39",159,0.49
97,"click",17440,0,"2018-04-01 06:07:46",186,0.05
98,"click",210829,160625,"2018-04-01 06:07:50",165,0.30
99,"click",213127,0,"2018-04-01 06:08:03",157,0.25
100,"click",210829,160625,"2018-04-01 06:08:08",153,0.02
101,"click",213127,0,"2018-04-01 06:08:09",161,0.01
102,"click",213127,127,"2018-04-01 06:08:38",167,0.29
103,"click",210829,160625,"2018-04-01 06:08:47",161,0.01
104,"click",213127,127,"2018-04-01 06:09:11",176,0.20
105,"click",213127,6,"2018-04-01 06:09:18",155,0.40
106,"click",210829,160625,"2018-04-01 06:09:30",153,0.02
107,"click",213127,160625,"2018-04-01 06:09:55",153,0.02
108,"click",213127,127,"2018-04-01 06:10:49",153,0.02
109,"click",81164,81164,"2018-04-01 06:11:13",178,2.50
110,"click",213127,279623,"2018-04-01 06:11:36",161,0.01
111,"click",68810,0,"2018-04-01 06:11:38",158,0.01
112,"click",68810,0,"2018-04-01 06:11:41",156,0.25
113,"click",213127,10,"2018-04-01 06:12:07",156,0.25
114,"click",213127,160625,"2018-04-01 06:12:08",188,0.04
115,"click",213127,160625,"2018-04-01 06:12:09",189,0.04
116,"click",213127,160625,"2018-04-01 06:12:09",188,0.04
117,"click",213127,160625,"2018-04-01 06:12:09",189,0.04
118,"click",213127,160625,"2018-04-01 06:12:10",188,0.04
119,"click",213127,160625,"2018-04-01 06:12:10",189,0.04
120,"click",213127,160625,"2018-04-01 06:12:11",188,0.04
121,"click",213127,171119,"2018-04-01 06:12:16",181,0.24
122,"click",213127,171119,"2018-04-01 06:12:18",180,0.40
123,"click",213127,171119,"2018-04-01 06:12:19",177,0.30
124,"click",213127,171119,"2018-04-01 06:12:54",178,2.50
125,"click",213127,6,"2018-04-01 06:12:57",153,0.02
126,"click",213127,6,"2018-04-01 06:13:28",188,0.04
127,"click",213127,160625,"2018-04-01 06:14:12",183,0.15
128,"click",213127,160625,"2018-04-01 06:14:55",179,0.42
129,"click",210829,160625,"2018-04-01 06:15:15",153,0.02
130,"click",68810,0,"2018-04-01 06:16:43",153,0.02
131,"click",68810,0,"2018-04-01 06:16:44",153,0.02
132,"click",68810,0,"2018-04-01 06:16:45",153,0.02
133,"click",68810,0,"2018-04-01 06:16:45",153,0.02
134,"click",68810,0,"2018-04-01 06:16:48",153,0.02
135,"click",68810,0,"2018-04-01 06:16:48",153,0.02
136,"click",68810,0,"2018-04-01 06:16:48",153,0.02
137,"click",68810,0,"2018-04-01 06:16:49",155,0.40
138,"click",68810,0,"2018-04-01 06:16:50",153,0.02
139,"click",213127,127,"2018-04-01 06:17:26",188,0.04
140,"click",213127,171119,"2018-04-01 06:18:06",181,0.24
141,"click",210829,160625,"2018-04-01 06:18:07",169,1.00
142,"click",213127,127,"2018-04-01 06:18:15",181,0.24
143,"click",210829,160625,"2018-04-01 06:18:20",186,0.05
144,"click",213127,127,"2018-04-01 06:18:31",176,0.20
145,"click",213127,171119,"2018-04-01 06:18:54",159,0.49
146,"click",213127,127,"2018-04-01 06:19:00",174,0.33
147,"click",213127,160625,"2018-04-01 06:19:01",159,0.49
148,"click",213127,127,"2018-04-01 06:19:26",167,0.29
149,"click",213127,160625,"2018-04-01 06:19:29",157,0.25
150,"click",213127,160625,"2018-04-01 06:19:45",173,0.38
151,"click",213127,171119,"2018-04-01 06:19:58",167,0.29
152,"click",213127,127,"2018-04-01 06:20:00",173,0.38
153,"click",213127,127,"2018-04-01 06:20:14",183,0.15
154,"click",213127,127,"2018-04-01 06:20:30",188,0.04
155,"click",213127,160625,"2018-04-01 06:20:37",188,0.04
156,"click",94738,94738,"2018-04-01 06:20:52",164,0.50
157,"click",94738,94738,"2018-04-01 06:20:54",164,0.50
158,"click",94738,94738,"2018-04-01 06:20:54",162,5.00
159,"click",213127,160625,"2018-04-01 06:21:02",168,0.33
160,"click",171119,171119,"2018-04-01 06:21:07",183,0.15
161,"click",213127,171119,"2018-04-01 06:21:14",183,0.15
162,"click",213127,127,"2018-04-01 06:21:15",166,0.82
163,"click",213127,171119,"2018-04-01 06:21:15",179,0.42
164,"click",213127,160625,"2018-04-01 06:21:16",171,0.45
165,"click",213127,160625,"2018-04-01 06:21:19",171,0.45
166,"click",213127,171119,"2018-04-01 06:21:40",166,0.82
167,"click",213127,160625,"2018-04-01 06:21:41",160,0.40
168,"click",213127,160625,"2018-04-01 06:21:44",163,0.38
169,"click",213127,127,"2018-04-01 06:21:50",173,0.38
170,"click",238738,211613,"2018-04-01 06:22:22",183,0.15
171,"click",213127,127,"2018-04-01 06:22:25",183,0.15
172,"click",213127,127,"2018-04-01 06:23:01",178,2.50
173,"click",213127,314151,"2018-04-01 06:23:03",153,0.02
174,"click",213127,127,"2018-04-01 06:23:25",158,0.01
175,"click",213127,127,"2018-04-01 06:23:29",159,0.49
176,"click",213127,160625,"2018-04-01 06:23:34",175,0.71
177,"click",238738,211613,"2018-04-01 06:23:36",183,0.15
178,"click",238738,211613,"2018-04-01 06:23:51",183,0.15
179,"click",213127,160625,"2018-04-01 06:23:53",177,0.30
180,"click",213127,127,"2018-04-01 06:24:29",153,0.02
181,"click",171119,171119,"2018-04-01 06:24:35",158,0.01
182,"click",213127,171119,"2018-04-01 06:24:54",188,0.04
183,"click",213127,127,"2018-04-01 06:25:01",158,0.01
184,"click",213127,171119,"2018-04-01 06:25:20",160,0.40
185,"click",213127,160625,"2018-04-01 06:25:38",161,0.01
186,"click",213127,160625,"2018-04-01 06:25:40",154,1.50
187,"click",213127,127,"2018-04-01 06:25:52",179,0.42
188,"click",213127,127,"2018-04-01 06:26:53",154,1.50
189,"click",213127,160625,"2018-04-01 06:27:08",153,0.02
190,"click",213127,160625,"2018-04-01 06:27:12",157,0.25
191,"click",213127,160625,"2018-04-01 06:27:28",155,0.40
192,"click",213127,160625,"2018-04-01 06:29:07",156,0.25
193,"click",213127,160625,"2018-04-01 06:29:11",174,0.33
194,"click",213127,160625,"2018-04-01 06:29:12",178,2.50
195,"click",213127,160625,"2018-04-01 06:29:18",181,0.24
196,"click",79181,79181,"2018-04-01 06:30:02",173,0.38
197,"click",79181,79181,"2018-04-01 06:30:03",173,0.38
198,"click",213127,160625,"2018-04-01 06:33:39",186,0.05
199,"click",213127,160625,"2018-04-01 06:33:42",170,0.21
200,"click",32167,0,"2018-04-01 06:34:41",175,0.71
201,"click",213127,160625,"2018-04-01 06:35:56",153,0.02
202,"click",213127,160625,"2018-04-01 06:36:16",159,0.49
203,"click",213127,160625,"2018-04-01 06:38:12",168,0.33
204,"click",1882,0,"2018-04-01 06:39:46",158,0.01
205,"click",1882,0,"2018-04-01 06:39:47",160,0.40
206,"click",213127,213127,"2018-04-01 06:41:04",161,0.01
207,"click",213127,213127,"2018-04-01 06:41:06",153,0.02
208,"click",213127,213127,"2018-04-01 06:41:09",161,0.01
209,"click",213127,213127,"2018-04-01 06:41:13",175,0.71
210,"click",213127,160625,"2018-04-01 06:42:52",163,0.38
211,"click",281652,0,"2018-04-01 06:47:39",153,0.02
212,"click",281652,0,"2018-04-01 06:47:42",153,0.02
213,"click",213127,160625,"2018-04-01 06:48:12",173,0.38
214,"click",213469,213469,"2018-04-01 06:48:36",153,0.02
215,"click",213469,213469,"2018-04-01 06:48:39",153,0.02
216,"click",1882,0,"2018-04-01 06:48:48",153,0.02
217,"click",1882,314170,"2018-04-01 06:50:02",153,0.02
218,"click",213127,160625,"2018-04-01 06:50:21",159,0.49
219,"click",299087,314169,"2018-04-01 06:51:13",157,0.25
220,"click",299087,314169,"2018-04-01 06:51:16",153,0.02
221,"click",299087,314169,"2018-04-01 06:51:17",157,0.25
